Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
16,16,2006-12-08,20-289,BOS,,PHO,L (-5),0,13:21,1,3,.333,1,1,1.000,0,0,,1,2,3,2,0,0,1,2,3,2.2,-4
17,17,2006-12-09,20-290,BOS,@,NJN,W (+2),0,12:20,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,2,1.1,+13
18,18,2006-12-11,20-292,BOS,@,NYK,W (+7),0,15:55,3,5,.600,0,0,,0,0,,0,2,2,0,2,0,2,0,6,4.3,+15
19,19,2006-12-13,20-294,BOS,@,PHI,W (+20),0,6:21,2,3,.667,0,0,,0,0,,0,0,0,0,2,0,0,0,4,4.7,+5
20,20,2006-12-20,20-301,BOS,,GSW,L (-1),0,5:46,1,1,1.000,0,0,,0,0,,1,1,2,1,1,0,0,1,2,4.0,0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2006-12-22,20-303,BOS,,PHI,L (-15),0,7:52,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,3,1,0,-3.1,-18
22,22,2006-12-26,20-307,BOS,@,DEN,L (-11),0,16:29,3,7,.429,0,0,,0,2,.000,0,1,1,6,2,0,4,5,6,2.0,-2
23,23,2006-12-27,20-308,BOS,@,LAC,L (-23),0,20:27,1,5,.200,0,0,,0,0,,1,0,1,1,0,0,1,2,2,-1.5,-10
24,24,2006-12-29,20-310,BOS,@,GSW,L (-10),0,2:49,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1
25,25,2006-12-31,20-312,BOS,@,SEA,L (-6),0,28:14,6,9,.667,0,0,,0,0,,3,4,7,3,4,1,4,3,12,13.0,+13
26,26,2007-01-01,20-313,BOS,@,POR,W (+8),0,12:11,0,1,.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,1,2,1.9,+5
27,27,2007-01-03,20-315,BOS,,CLE,L (-3),0,7:05,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+7
28,28,2007-01-05,20-317,BOS,@,MEM,W (+9),0,6:08,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+7
29,29,2007-01-07,20-319,BOS,@,ORL,L (-8),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1
30,30,2007-01-10,20-322,BOS,,IND,L (-13),0,12:50,1,2,.500,0,0,,5,8,.625,0,3,3,2,1,0,3,1,7,4.7,-6
31,31,2007-01-12,20-324,BOS,,TOR,L (-9),0,30:02,7,13,.538,0,1,.000,9,12,.750,0,3,3,5,4,0,1,2,23,22.1,+3
32,32,2007-01-13,20-325,BOS,@,DET,L (-8),0,17:47,2,6,.333,0,0,,0,0,,2,3,5,3,1,0,2,1,4,3.6,0
33,33,2007-01-15,20-327,BOS,@,ATL,L (-4),0,36:10,3,11,.273,0,1,.000,3,4,.750,0,7,7,8,3,1,0,3,9,12.3,-2
34,34,2007-01-19,20-331,BOS,,SAC,L (-5),0,20:19,2,6,.333,1,2,.500,0,0,,0,2,2,3,0,0,3,3,5,0.1,0
35,35,2007-01-20,20-332,BOS,@,WAS,L (-5),0,33:17,4,7,.571,0,0,,2,2,1.000,2,8,10,7,1,0,3,4,10,11.8,+9
36,36,2007-01-22,20-334,BOS,,SAS,L (-4),0,31:32,1,8,.125,0,0,,2,2,1.000,2,2,4,7,3,0,3,3,4,4.5,0
37,37,2007-01-24,20-336,BOS,,ATL,L (-6),0,20:23,1,4,.250,0,0,,3,4,.750,1,1,2,0,2,2,4,4,5,1.0,-14
38,38,2007-01-26,20-338,BOS,@,TOR,L (-6),0,12:49,4,7,.571,0,0,,0,1,.000,0,3,3,4,1,0,1,1,8,7.6,+8
39,39,2007-01-28,20-340,BOS,,WAS,L (-14),0,21:30,2,6,.333,0,0,,5,6,.833,1,2,3,4,3,0,4,4,9,6.7,-2
40,40,2007-01-30,20-342,BOS,@,IND,L (-7),0,25:19,3,7,.429,0,0,,1,2,.500,2,2,4,5,2,0,4,6,7,4.0,+9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2007-01-31,20-343,BOS,,LAL,L (-13),0,19:10,1,5,.200,0,0,,0,0,,1,2,3,4,1,0,1,2,2,2.2,+5
42,42,2007-02-02,20-345,BOS,,LAC,L (-11),1,42:57,10,16,.625,2,2,1.000,1,4,.250,2,4,6,6,4,0,1,3,23,23.2,-8
43,43,2007-02-06,20-349,BOS,@,DET,L (-7),1,33:37,3,6,.500,0,0,,2,3,.667,0,2,2,11,1,0,2,1,8,11.5,+6
